,firm_name,crno,brno,ticker
0,신라교역,1101110008254.0,219-81-00919,004970
1,농우바이오,1301110015049.0,124-81-16938,054050
2,아시아종묘,1101113036096.0,215-86-58597,154030
3,동원수산,1101110046204.0,220-81-09792,030720
4,삼성수산,1101111385510.0,229-81-26352,052560
5,대성자원,,101-81-00262,004260
6,씨앤케이인터,1101110676811.0,211-86-06874,039530
7,삼성전자,1301110006246.0,124-81-00998,005930
8,SK하이닉스,1344110001387.0,126-81-03725,000660
9,삼성바이오로직스,1201110566317.0,131-86-27632,207940
10,LG에너지솔루션,1101117701356.0,851-81-02050,373220
11,한화에어로스페이스,1942110000480.0,609-81-02992,012450
12,현대차,1101110085450.0,101-81-09147,005380
13,셀트리온,1350110034038.0,133-81-23603,068270
14,두산에너빌리티,1942110000943.0,609-81-04684,034020
15,기아,1101110037998.0,119-81-02316,000270
16,HD현대중공업,2301110312741.0,252-87-01412,329180
17,현대모비스,1101110215536.0,101-81-16406,012330
18,POSCO홀딩스,1746110000741.0,506-81-00017,005490
19,한화오션,1101112095837.0,104-81-57667,042660
20,현대로템,1942110036336.0,609-81-37486,064350
21,LG화학,1101112207995.0,107-81-98139,051910
22,KT&G,1601110067804.0,306-81-30866,033780
23,HD현대일렉트릭,1101116363850.0,266-86-00531,267260
24,SK이노베이션,1101113710385.0,101-86-32319,096770
25,삼성중공업,1101110168595.0,120-81-52780,010140
26,고려아연,1101110168404.0,211-81-11260,010130
27,삼성SDI,1101110394174.0,124-81-31282,006400
28,LIG넥스원,1101111516933.0,215-86-35051,079550
29,LG전자,1101112487050.0,107-86-14075,066570
30,포스코퓨처엠,1746110001947.0,506-81-01452,003670
31,삼양식품,1101110034308.0,102-81-05450,003230
32,유한양행,1101110014409.0,118-81-00601,000100
33,한화시스템,1760110020640.0,513-81-17175,272210
34,삼성전기,1301110001626.0,124-81-00979,009150
35,에코프로비엠,1501110219184.0,638-86-00376,247540
36,효성중공업,1101116770154.0,578-87-00896,298040
37,한국항공우주,1101111827570.0,110-81-42397,047810
38,한미반도체,1201110038423.0,137-81-02051,042700
39,LS ELECTRIC,1101110520076.0,116-81-19273,010120
40,아모레퍼시픽,1101113471036.0,106-86-43373,090430
41,HD현대미포,1812110000526.0,620-81-00900,010620
42,HLB,1701110021600.0,514-81-13250,028300
43,S-Oil,1101110189955.0,116-81-36743,010950
44,한화,1101110002959.0,202-81-16825,000880
45,에이피알,1101115535012.0,220-88-89441,278470
